Run!	Chạy!
He is one of the greatest scientists in the world.	Ông ấy là một trong những nhà khoa học lỗi lạc nhất thế giới.
How long does the airport bus take to the airport?	Xe buýt sân bay tới sân bay mất bao nhiêu lâu?
I don't want to hear any more of your complaining.	Tôi không muốn nghe thêm bất kì lời than vãn nào từ cậu nữa.
I had not expected Tom to be able to speak French.	Tôi không ngờ Tom có thể nói tiếng Pháp.
I had nothing to do with what happened last night.	Tôi không có liên quan gì đến chuyện xảy ra tối qua.
I put in an hour of jogging before I go to school.	Tôi chạy bộ một giờ trước khi đi đến trường.
I spent the whole afternoon chatting with friends.	Tôi tốn hết buổi chiều tán chuyện với đám bạn.
I will accept the work, provided that you help me.	Tôi sẽ nhận công việc, với điều kiện bạn sẽ giúp tôi.
I'd like you to quickly look over these documents.	Tôi muốn bạn xem nhanh qua những tài liệu này.
I'm going to buy a few bottles of wine for dinner.	Tôi chuẩn bị đi mua vài chai rượu cho bữa tối.
I'm going to buy a few bottles of wine for dinner.	Tôi chuẩn bị đi mua vài chai rượu về để tối nay ăn cơm sẽ uống.
I'm pretty sure Tom has been telling us the truth.	Tôi khá chắc là Tom đã nói cho chúng tôi sự thật.
Let's celebrate the anniversary of our first kiss.	Hãy ăn mừng kỷ niệm ngày chúng ta hôn nhau lần đầu.
My physics teacher doesn't care if I skip classes.	Thầy vật lý không để ý đến việc lên lớp của tôi.
The villagers went in search of the missing child.	Dân làng đi tìm kiếm đứa trẻ lạc.
Tom didn't know what to do with the leftover food.	Tom đã không biết làm gì với đống thức ăn thừa.
Tom wants to know how long we're going to be here.	Tom muốn biết chúng ta sẽ ở lại đây trong bao lâu.
Walk along the river and you will find the school.	Đi dọc theo con sông và bạn sẽ tìm được ngôi trường.
We met last year and hope to meet again next year.	Chúng tôi gặp nhau năm ngoái và hy vọng sẽ gặp lại vào năm sau.
We wanted to get out of there as fast as we could.	Chúng tôi chỉ muốn nhanh chóng thoát ra khỏi đây.
Were I in your position, I would oppose that plan.	Nếu tôi ở vị trí của bạn, tôi sẽ phản đối kế hoạch đó.
What was the name of the guy you dated before Tom?	Tên của gã mà cậu đã hẹn họ trước khi gặp Tom là gì vậy nhỉ?
Which of these do you consider your best painting?	Đâu là bức vẽ ưng ý nhất của ấy?
You have to expect that to happen once in a while.	Bạn phải biết là lâu lâu nó sẽ xảy ra một lần.
You have to expect that to happen once in a while.	Bạn phải biết là việc đó thỉnh thoảng vẫn xảy ra.
You should read a lot of books while you're young.	Lúc còn trẻ thì bạn nên đọc nhiều sách vào.
Do you really want me to give your computer to Tom?	Có thật là anh muốn tôi đưa máy tính của anh cho Tom không vậy?
His income is now double what it was ten years ago.	Thu nhập của anh ấy đã tăng gấp đôi so với 10 năm trước.
His story was too ridiculous for anyone to believe.	Chuyện của nó tào lao đến nỗi chẳng ai tin được.
I looked up his phone number in the telephone book.	Tôi tra số điện thoại của anh ta trong cuốn danh bạ điện thoại.
It is very nice of you to help me with my homework.	Bạn thật tốt khi giúp tôi làm bài tập về nhà.
It'll be three months before our house is finished.	Sẽ mất 3 tháng cho tới lúc căn nhà hoàn thiện.
Just tell me what you want me to do and I'll do it.	Muốn tôi làm gì thì anh cứ nói, tôi sẽ làm cho.
Mary came out of the bathroom with only a towel on.	Mary bước ra khỏi nhà tắm chỉ với khăn tắm trên người.
My grandmother is still very active at eighty-five.	Bà của tôi vẫn còn rất hoạt bát ở tuổi 85.
She felt quite worn out after arguing with friends.	Nó cảm thấy mệt lử sau khi cãi nhau với bạn.
Suppose you had ten million yen, what would you do?	Giả sử bạn có 10 triệu yên, bạn sẽ làm gì?
The bat was stolen yesterday, along with the balls.	Cây gậy bị mất ngày hôm qua, cùng với những quả bóng.
The desire he has had for years has been fulfilled.	Khát vọng nhiều năm của anh ấy đã được đáp ứng.
This time tomorrow I'll be studying in the library.	Tớ sẽ tới thư viện học bài vào ngày mai.
This time tomorrow I'll be studying in the library.	Tớ sẽ tới thư viện tầm này vào ngày mai để học bài.
Tom and I have a lot more in common than I thought.	Tom và tôi có nhiều điểm chung hơn là tôi nghĩ.
Tom got up early in order to catch the first train.	Tôm đã dậy sớm để bắt chuyến tàu đầu tiên.
Tom looks more friendly today than he usually does.	Hôm nay Tom trông thân thiện hơn hẳn thường ngày.
Tom said he didn't know anything about the robbery.	Tom nói là cậu ấy không hề biết gì về vụ cướp.
Tom seemed very surprised when I told him about it.	Tom có vẻ rất ngạc nhiên khi tôi kể cho anh ta chuyện đó.
Tom told me there was someone who wanted to see me.	Tom nói là có người muốn gặp tôi.
What's the difference between a village and a town?	Ngôi làng và thị trấn khác nhau chỗ nào?
What's the difference between a village and a town?	Sự khác biệt giữa làng và thị trấn là gì.
Why do you think Tom prefers living in the country?	Tại sao bạn nghĩ Tom thích sống ở vùng đồng quê ?
With her help, my French improved little by little.	Với sự giúp đỡ của cô ấy, tiếng Pháp của tôi được cải thiện từng chút từng chút một.
Being careful about his health, he seldom gets sick.	Rất quan tâm đến sức khỏe nên anh ấy hiếm khi bị ốm.
For the past 10 years, I've fed my dog dry dog food.	Tôi cho chó của mình ăn thức ăn khô dành cho chó trong suốt 10 năm qua.
He is said to have been very poor when he was young.	Người ta bảo khi còn trẻ ông ta rất nghèo.
He stopped to make speeches in cities along the way.	Anh ta dừng lại để đọc diễn văn ở các thành phố dọc đường.
I sat down in the shade of a tree and read the book.	Tôi ngồi dưới bóng râm và đọc sách.
I think I still have time for another cup of coffee.	Tôi nghĩ là tôi vẫn còn thời gian cho một ly cà phê nữa.
It is not easy to catch a hare with your bare hands.	Bắt thỏ rừng bằng tay thì khó.
Japan is the largest importer of U.S. farm products.	Nhật Bản là đầu mối nhập khẩu lớn nhất của sản phẩm nông nghiệp của Hoa Kỳ.
Mary is prettier and makes better grades than Alice.	Mary vừa xinh hơn lại đạt điểm cao hơn Alice.
Meditation doesn't cost anything, but it takes time.	Thiền định không tốn kém gì cả, nhưng phải mất thời gian.
My pride prevented me from borrowing money from him.	Vì sĩ diện tôi không thể vay tiền của anh ta.
None of them could understand what she was implying.	Không ai trong số họ hiểu cô ấy vừa ám chỉ điều gì.
She spends over a third of her time doing paperwork.	Cô ta dành một phần ba đời mình để làm công việc giấy tờ.
She was the last person I expected to meet that day.	Cô ta là người cuối cùng mà tôi muốn gặp vào ngày hôm đó.
There are no hospitals in the vicinity of his house.	Vùng lân cận xung quanh nhà anh ấy chẳng có cái bệnh viện nào.
They agreed to look into the causes of the accident.	Họ đồng ý xem xét nguyên nhân của vụ tai nạn.
Tom and Mary admired the scenery as they held hands.	Tom và Mary chiêm ngưỡng phong cảnh, tay trong tay.
Tom's dream is to travel around the world with Mary.	Mơ ước của Tom là đi du lịch vòng quanh thế giới với Mary.
We have not had a single drop of rain for two weeks.	Đã hai tuần rồi mà chưa có một giọt mưa nào.
You can't shake someone's hand with a clenched fist.	Khi bắt tay ai không được nắm chặt quá.
You must not park your car there without permission.	Bạn không được đậu xe ở đây mà không có sự cho phép.
A number of countries have strict laws against drugs.	Một số quốc gia có hệ thống luật pháp nghiêm khắc chống lại thuốc phiện.
Are you sure you don't want me to wait here with Tom?	Bạn có chắc là bạn không muốn tôi đợi ở đây cùng với Tom?
He breathed deeply before entering his boss's office.	Anh ta hít một hơi thật sâu trước khi bước vào phòng của sếp.
I get the feeling you're trying to tell me something.	Tôi cảm thấy rằng bạn đang muốn nói gì đó với tôi.
I just came by to tell you that I'm moving to Boston.	Tôi chỉ ghé qua để cho bạn biết là tôi sẽ dọn đi Boston.
I still can't speak French as well as I wish I could.	Mình không thể nói tiếng Pháp tốt như mình muốn.
I thought Tom would stop by to check on our progress.	Anh tưởng Tom sẽ ghé qua để kiểm tra tiến độ công việc của bọn mình.
I'm supposed to get to school early tomorrow morning.	Tôi phải tới trường sớm sáng mai.
If I knew her name and address, I could write to her.	Nếu tôi biết tên và địa chỉ của cô ấy, tôi sẽ viết thư cho cô ấy.
If you don’t give it back to him, he’ll be angry!	Nếu cậu không trả đồ cho nó thì nó sẽ bực lắm đấy!
It's been a while since we've gone swimming together.	Một thời gian đã trôi qua kể từ khi chúng ta đi bơi cùng nhau.
My father doesn't allow me to go to the movies alone.	Bố tôi không cho phép tôi đi xem phim một mình.
My mother bought my little brother a yellow umbrella.	Mẹ tôi mua cho em trai tôi một cái dù màu vàng.
News of his death wasn't published for several weeks.	Tin về cái chết của cậu ta đã không được thông báo trong vài tuần.
She's practicing English so she can get a better job.	Cô ta thực hành tiếng Anh để kiếm một công việc tốt hơn.
Some students looked at her with tears in their eyes.	Vài sinh viên nhìn cô với đôi mắt mọng nước.
The last few days have been very busy for both of us.	Mấy ngày vừa qua là những ngày rất bận rộn cho cả hai chúng tôi.
The robbers made away with all the money in the safe.	Bọn trộm trốn thoát với tất cả số tiền trong két.
The universe was born more than 12 billion years ago.	Vũ trụ được hình thành từ hơn 12 tỉ năm về trước.
Tom and Mary have been married for about three years.	Tom và Mary đã cưới nhau được khoảng ba năm.
Tom decided to give up playing guitar professionally.	Tom đã quyết định từ bỏ chơi ghita chuyên nghiệp.
Tom hopes he won't be eating leftovers again tonight.	Tom mong rằng sẽ không phải ăn đồ thừa tối vào tối nay nữa.
Tom was shocked when I told him what Mary had bought.	Tom cực kỳ ngạc nhiên khi tớ nói với anh ấy Mary mua cái gì.
Tom wished that he could play tennis as well as Mary.	Tom ước rằng mình có thể chơi tennis giỏi như Mary.
Tom's been working on this report since this morning.	Tom làm việc với bản báo cáo từ sáng đến giờ.
We always walk by the post office on the way to work.	Chúng tôi luôn đi bộ ngang qua bưu điện trên đường đi làm
We climbed higher so that we might get a better view.	Chúng tôi chèo lên cao để có được tầm nhìn đẹp hơn.
Whenever I find something I like, it's too expensive.	Hễ tôi kiếm được cái gì tôi thích thì nó lại đắt quá.
You don't have to tell me what to do. I already know.	Tôi biết rồi, không cần bạn chỉ đâu.
Am I right in saying that, like me, you study Spanish?	Tôi nói bạn học tiếng Tây Ban Nha, có đúng không?
He was released from prison immediately after the war.	Nó được thả ra khỏi tù ngay sau chiến tranh.
I can't remember the password I used for this website.	Tôi không thể nhớ mật khẩu đã dùng cho trang web này.
I want you to know you've got nothing to be afraid of.	Tôi muốn bạn biết rằng bạn không có gì phải sợ.
I would like to go to Austria in order to study music.	Tôi muốn đi Áo để học âm nhạc.
In my city, there is no school for learning Esperanto.	Trong thành phố của tôi, chẳng có trường nào dạy Quốc tế ngữ.
In my city, there is no school for learning Esperanto.	Trong thành phố của tao, chẳng có trường nào dạy Quốc tế ngữ.
In my city, there is no school for learning Esperanto.	Trong thành phố của tôi, chẳng có trường nào để học Quốc tế ngữ.
It's pity that nobody came to meet you at the station.	Thật đáng tiếc chẳng ai ra ga đón bạn cả.
It's quite difficult to master French in 2 or 3 years.	Rất là khó để thành thạo tiếng Pháp trong hai hay ba năm.
My father will be back at the beginning of next month.	Cha tôi sẽ trở lại vào đâu tháng tới.
The flood was the greatest disaster they had ever had.	Trận lụt là thảm họa tồi tệ nhất mà họ từng trải qua.
The only access to the farmhouse is across the fields.	Lối duy nhất dẫn vào trang trại là băng qua các cánh đồng.
This sentence needs to be checked by a native speaker.	Cần có người bản xứ kiểm tra câu này.
Tom is the only witness. There are no other witnesses.	Tom là nhân chứng duy nhất. Không có nhân chứng nào khác.
Tom told Mary that she should get rid of the evidence.	Tom bảo Mary nên từ bỏ các chứng cứ đi.
What's the difference between religion and philosophy?	Điểm khác biệt giữa tôn giáo và triết học là gì?
Would you rather have a cup of coffee or a cup of tea?	Bạn thích uống cà-phê hay uống trà?
You probably know more about me than I know about you.	Cậu có khi biết nhiều về tớ hơn là tớ biết về cậu.
A lot of people say Tom is the best player on our team.	Nhiều người nói Tom là một cầu thủ giỏi trong đội của chúng tôi.
A lot of people say Tom is the best player on our team.	Nhiều người nói Tom là một người chơi giỏi trong nhóm của chúng tôi.
A lot of people say Tom is the best player on our team.	Rất nhiều người nói Tom là một cầu thủ giỏi trong đội chúng tôi.
According to the weather forecast, it'll snow tomorrow.	Theo dự báo thời tiết, mai sẽ có tuyết.
An important function of policemen is to catch thieves.	Chức năng quan trọng của cảnh sát là bắt bọn trộm.
An important function of policemen is to catch thieves.	Chức năng quan trọng của công an là bắt ăn trộm.
He settled down in his armchair to listen to the music.	Anh ta ngồi xuống ghế bành để nghe nhạc.
I don't know where Tom was and I don't want to ask him.	Tôi không biết Tom ở đâu và tôi cũng không muốn hỏi anh ấy.
I'd sleep better at night if we had locks on our doors.	Tôi có lẽ đã ngủ ngon hơn vào ban đêm nếu các cánh cửa có khóa.
I've tried reasoning with him but he just won't listen.	Tôi cố gắng biện luận với anh ấy, nhưng anh ấy không nghe.
Lake Baikal in Russia is the deepest lake in the world.	Hồ Baikal ở Nga là hồ nước sâu nhất trên thế giới.
Meet me at the lobby of the Imperial Hotel at 6:30 p.m.	Gặp tôi tại hành lang của khách sạn Hoàng Gia vào lúc 6:30 tối.
My brother is very important. At least he thinks he is.	Em trai tôi rất là tự tin. Ít nhất chính nó nghĩ như vậy.
My father encouraged me to learn how to play the piano.	Cha tôi khuyến khích tôi học đàn piano.
My father encouraged me to learn how to play the piano.	Cha tôi khuyến khích tôi học đàn dương cầm.
One can't learn to do anything without making mistakes.	Một người không thể học làm bất kỳ thứ gì mà không gây ra lỗi lầm cả.
She looks young, but she's actually older than you are.	Cô ấy nhìn có vẻ trẻ thật đấy nhưng thật sự thì cô ta già hơn cậu nhiều.
She was born in the United States and grew up in Japan.	Cô ấy sinh ra ở Mỹ và lớn lên ở Nhật.
Some people dislike eels because they look like snakes.	Một số người không thích lươn vì trông bọn nó giống rắn.
Some people dislike eels because they look like snakes.	Một số người không thích lươn vì trông chúng giống rắn.
The last leg of our journey will be the most difficult.	Chặng cuối của cuộc hành trình của chúng tôi sẽ là khó khăn nhất.
The train is traveling at the rate of 50 miles an hour.	Xe lửa sẽ di chuyển ở vận tốc 50 dặm một giờ.
Tom becomes nervous whenever he has to speak in public.	Tom bối rối mỗi khi nó nói chuyện trước công chúng.
Tom becomes nervous whenever he has to speak in public.	Tom trở nên lo lắng khi nó phải nói chuyện ở nơi công cộng.
Tom didn't know what the wood was going to be used for.	Tom đã không biết chỗ gỗ đó dùng để làm gì.
Tom said he doesn't think it's safe for you to do that.	Tom nói rằng anh ấy không nghĩ nó an toàn để bạn làm điều đó.
Tom will never forget all the time Mary spent with him.	Tom sẽ không bao giờ quên quãng thời gian Mary ở bên anh ấy.
He doesn't just speak French, he speaks Spanish as well.	Ngoài tiếng Pháp ra, anh ta còn có thể nói tiếng Tây Ban Nha.
I agree with the opinion that real estate is overpriced.	Tôi đồng ý với ý kiến rằng bất động sản bị định giá quá cao.
I'd never borrow anything of yours without asking first.	Tôi chưa bao giờ mượn bất kì thứ gì của bạn mà không hỏi trước cả.
I'm glad to say that the boss has been very well lately.	Tôi mừng khi thấy gần đây sếp rất khỏe mạnh.
If I have the chance, I'll definitely travel to Beijing.	Nếu có cơ hội, tôi nhất định sẽ đi du lịch Bắc Kinh.
She was hurt to find that nobody took any notice of her.	Cô ấy đã bị tổn thường khi thấy rằng không ai để ý tời bất kỳ thông báo của cô ta.
The only thing Tom likes to do after dinner is watch TV.	Việc duy nhất Tom thích sau bữa tối là xem TV.
They were so frightened that they couldn't move an inch.	Bọn họ sợ tới nỗi không làm gì được.
Tom and Mary walked out of the room, leaving John alone.	Tom và Mary bước ra khỏi phòng, để lại John một mình.
Tom doesn't have to talk about it if he doesn't want to.	Tom không phải nói về điều đó nếu anh ta không muốn.
Tom doesn't know if Mary will go camping with us or not.	Tom không biết liệu Mary có đi cắm trại với bọn tôi hay không.
Tom said something crude about the way Mary was dressed.	Tom nói điều gì đó thô thiển về cách ăn mặc của Mary.
Everyone would like to believe that dreams can come true.	Ai cũng muốn tin rằng mọi giấc mơ đều có thể trở thành hiện thực.
He never takes into account the fact that I am very busy.	Anh ta không bao giờ để tâm việc tôi bận ra sao.
How tall do you think my daughter will be in three years?	Bạn nghĩ là trong ba năm tới con gái tôi sẽ cao đến đâu?
I didn't hear you clearly. Would you please say it again?	Tôi nghe không rõ, làm ơn lặp lại.
People used to think that only humans could use language.	Mọi người thường nghĩ rằng chỉ có con người mới có thể sử dụng ngôn nghĩ.
Please return the book when you have finished reading it.	Vui lòng trả quyển sách nếu bạn đã đọc xong.
There are various reasons why a house may be left vacant.	Có rất nhiều lý do để giải thích vì sao một căn nhà bị bỏ trống.
There will be an economic crisis at the end of this year.	Sẽ có một đợt khủng hoảng kinh tế vào cuối năm nay.
Tom teaches history at the high school across the street.	Tom dạy lịch sử ở trường trung học phía bên kia đường.
Tom took off Mary's glasses and they kissed passionately.	Tom tháo kính khỏi gương mặt Mary và hai người trao nhau nụ hôn mãnh liệt.
We'd better get ready early because the train won't wait.	Tốt hơn là mình nên nhanh chóng chuẩn bị cho xong vì mưa không đợi ai đâu.
You're going to leave for London next Sunday, aren't you?	Bạn sẽ rời đến London thứ bảy tới có phải không?
46 million Americans lived under the poverty line in 2010.	46 triệu người Mỹ sống dưới ngưỡng nghèo trong năm 2010.
Be careful not to drive the wrong way on a one-way street.	Cẩn thận đừng chạy ngược chiều khi lưu thông trên đường một chiều.
Could you be quiet? I have to get up early and go to work.	Em giữ yên lặng được không? Mai anh phải dậy đi làm sớm.
Don't feel sorry for yourself. We're all in the same boat.	Đừng tủi thân. Chúng ta cùng chung cảnh ngộ mà.
I could tell you all the details if you want to know them.	Tôi có thể kể cho cậu mọi chi tiết nếu cậu muốn biết về chúng.
I don't care where we eat dinner. It's entirely up to you.	Ăn tối ở đâu cũng được, tùy bạn thôi.
I dropped by the bookstore and bought an interesting book.	Tôi ghé qua hiệu sách và mua một cuốn sách thú vị.
I thought Tom would plant those flowers near the oak tree.	Tôi đã nghĩ là Tom sẽ trồng những cây hóa đó gần cây sồi.
In Singapore, one way to punish criminals is to whip them.	Tại Singapre, có môt cách để trừng phạt tội phạm là đánh đòn.
It was the hungry bears that the villagers were afraid of.	Nó chính là con gấu đói mà dân làng sợ hãi.
Make sure that the lights are turned off before you leave.	Hãy chắc chắn rằng đèn được tắt sau khi bạn rời đi.
Parents who beat their children really make my blood boil.	Cha mẹ mà đánh con cái làm tôi giận sôi máu.
Please note that we have quoted the lowest possible price.	Xin chú ý rằng chúng tôi đã đưa ra mức giá thấp nhất rồi.
She has two cats. One is white and the other one is black.	Cô ấy có hai con mèo. Một con thì trắng và con kia thì đen.
The blind nurse devoted herself to caring for the elderly.	Người y tá mù cống hiến đời mình cho việc chăm sóc những người già.
The police seized a large quantity of drugs at the school.	Cảnh sát tịch thu một lượng lớn ma túy ở ngôi trường.
The view from the top of the mountain took my breath away.	Cảnh từ trên đỉnh núi khiến tôi phải nín thở.
There was nothing but water as far as the eye could reach.	Không có gì ngoài nước khi nhìn hết tầm mắt.
Tom is so stressed at the moment, he can't think straight.	Bây giờ Tom cảm thấy rất căng thẳng, anh ấy không thể nào nghĩ thông suốt được.
Tom told me that he didn't want to come home empty-handed.	Tôm bảo tôi rằng anh ta không muốn về nhà tay không.
When you skateboard, it puts quite a strain on your knees.	Khi bạn trượt ván, lực sẽ đè mạnh lên đầu gối của bạn.
Years ago, she used to hang around with a bunch of bikers.	Vài năm trước, cô ta từng chơi với một đám lái mô-tô.
A budget deficit will occur because of a revenue shortfall.	Thâm hụt ngân sách sẽ xảy ra do sự sụ giảm doanh thu.
Currently I am putting effort into expanding my vocabulary.	Mình đang cố gắng mở rộng vốn từ.
Did you hear that the position for manager is up for grabs?	Bạn có nghe nói vị trí trưởng phòng còn trống không?
I tried to leave early, but people kept asking me for help.	Tôi cố về sớm rồi mà mọi người cứ nhờ tôi giúp mãi thôi.
I'm sure Tom will get around to doing that sooner or later.	Tôi chắn chắn rằng, sớm muộn gì Tom cũng làm điều đó
No matter how much I think about it, I don't understand it.	Cho dù có cố suy nghĩ thế nào đi nữa thì tôi vẫn không thể hiểu được chuyện này.
Our mother had no choice but to make dinner with leftovers.	Mẹ chúng tôi không còn cách nào khác phải làm bữa tối với phần thức ăn thừa.
Tell me why you aren't planning on going to Boston with us.	Nói tôi nghe tại sao anh lại không đi Boston với chúng tôi.
The murderer was convicted and sentenced to life in prison.	Thằng giết người bị xử tù chung thân.
To my surprise, he got married to a very beautiful actress.	Tôi bất ngờ vì anh ta lại kết hôn với một nữ diễn viên rất xinh đẹp.
Tom demonstrated the company's newest product to the crowd.	Tom giới thiệu sản phẩm mới nhất của công ty trước công chúng.
Tom doesn't have any idea when Mary is planning to do that.	Tom không có ý tưởng nào khi Mary đang lên kế hoạch để làm điều đó.
Tom doesn't have enough money to buy the computer he wants.	Tom không đủ tiền để mua cái máy tính nó muốn.
Tom was looking for some people to help him move his piano.	Tom đang tìm người giúp anh ấy chuyển cái piano đi.
Tom wondered how long it would take Mary to finish the job.	Tom thắc mắc không biết mất bao lâu thì Mary hoàn thành công việc.
We have a lot more in common than you probably think we do.	Chúng ta có những điểm chung nhiều hơn nhiều những gì bạn có thể nghĩ.
We have a lot more in common than you probably think we do.	Chúng ta có rất nhiều điểm chung hơn những gì bạn nghĩ.
We have a lot more in common than you probably think we do.	Chúng ta có nhiều điểm chung hơn là bạn tưởng đấy.
I remember the year when he began working and earning money.	Tôi nhớ năm anh ấy bắt đầu có công ăn việc làm.
It's so hot that you could cook an egg on the hood of a car.	Nóng đến nỗi mà có thể luộc trứng trên nóc xe.
President Jefferson did not want the trade ban to last long.	Tổng thống Jefferson không muốn cấm vận thương mại kéo dài.
She was about to go to bed when someone knocked on the door.	Khi cô ta chuẩn bị đi ngủ thì có người gõ cửa.
She was about to go to bed when someone knocked on the door.	Cô ấy chuẩn bị đi ngủ khi thì có ai đó gõ cửa.
There seem to be few people who can solve that math problem.	Dường như có vài người có thể giải bài toán.
This city has been increasing in population year after year.	Số dân của thành phố này tăng qua từng năm.
Tom couldn't understand what the purpose of the mission was.	Tom không thể hiểu được mục đích của nhiệm vụ là gì.
When I have a problem I can't figure out, I ask Tom to help.	Mỗi khi tôi gặp chuyện mà không tự giải quyết được, tôi đều nhờ đến Tom.
You must not leave her waiting outside in such cold weather.	Bạn không được để cô ta đợi bên ngoài trong thời tiết lạnh giá thế này.
"What's going on in the cave? I'm curious." "I have no idea."	"Trong hang đang xảy ra chuyện gì vậy? Tôi rất là tò mò." "Tôi cũng không biết nữa."
Can you think of any reason why Tom wouldn't want to do that?	Bạn có thể nghĩ vài lý do tại sao Tom không muốn làm điều đó.
He practices the piano every day, so he can become a pianist.	Cậu ta tập chơi đàn hàng ngày để trở thành một nghệ sỹ dương cầm.
I have no time for that, and besides, I don't have any money.	Tôi không có thời gian làm việc đó, và ngoài ra, tôi không có tiền.
I was wondering if you'd like to join me for dinner tomorrow.	Tôi không biết bạn có thể đi ăn tối với tôi ngày mai được không.
If her nose were a little shorter, she would be quite pretty.	Nếu mũi của cô ngắn hơn một chút, cô sẽ khá đẹp.
The class was too big so we split up into two smaller groups.	Lớp học quá đông nên chúng tôi chia ra thành hai nhóm nhỏ hơn.
Tom speaks to his father in French and his mother in English.	Tom nói chuyện với cha bằng tiếng Pháp và nói với mẹ bằng tiếng Anh.
Tom told Mary that everybody except John had already arrived.	Tom nói với Mary rằng mọi người đều đã đến ngoại trừ John.
Your essay has some mistakes, but as a whole it is very good.	Bài luận của bạn có vài lỗi, nhưng tổng thể thì làm rất tốt.
He caught sight of a thief attempting to break into the house.	Anh ta bắt gặp một tên cướp đang cố gắng đột nhập vào nhà.
I don't like him very much. To tell you the truth, I hate him.	Tôi không thích anh ấy lắm, trên thực tế tôi ghét anh ấy.
It'll take about thirty minutes to get to the station by taxi.	Đi taxi tới bến xe mất khoảng 30 phút.
It's likely to rain today, so you'd better take your umbrella.	Trời sắp mưa đấy, cậu nên cầm ô đi.
Many offices of the municipal government are in the town hall.	Nhiều văn phòng của chính quyền thành phố nằm trong tòa thị chính.
The Beatles set the world on fire with their incredible music.	The Beatles nhấn chìm cả thế giới trong biển lửa với thứ âm nhạc tuyệt vời của họ.
There are significant differences between those two countries.	Có những khác biệt rõ rệt giữa hai quốc gia.
Tom and three other crew members were injured in the accident.	Tom và ba thành viên khác của đội đã bị thương trong tai nạn.
Tom might want to consider purchasing a new answering machine.	Tom có thể muốn cân nhắc về việc mua một cái máy trả lời tự động mới.
Tom says that he plans on staying in Boston as long as he can.	Tom nói rằng anh ấy lên kế hoạch ở lại Boston miễn là anh ấy có thể.
Tom wondered whether it would be hard to find a job in Boston.	Tom muốn biết liệu có khó để tìm việc ở Boston hay không.
Walk along the street and turn left at the third intersection.	Đi dọc theo con phố và rẽ trái ở nút giao thứ ba.
Even though Tom still had tears in his eyes, he began to smile.	Mặc dù mắt của Tom vẫn còn nước, nó đã bắt đầu cười.
I had broken my glasses, so that I couldn't see the blackboard.	Tôi đã làm vỡ kính rồi, vì thế tôi không thể thấy được bảng.
I think it's time for me to admit that I never cared about you.	Tôi nghĩ đã đến lúc thừa nhận là tôi chưa bao giờ quan tâm đến bạn.
It may take a few weeks to get used to working the night shift.	Chắc phải tốn vài tuần để quen làm việc ca đêm.
Never having seen a mongoose, I do not know what they are like.	Tôi chưa bao giờ thấy một con cầy Măng-gút, cho nên không biết nó trông thế nào.
They couldn't decide whether to go to the mountains or the sea.	Họ không thể quyết định được sẽ đi lên núi hay xuống biển.
Those who are suffering from hunger in Africa need urgent help.	Những người chịu nạn đói ở châu Phi cần sự trợ giúp khẩn cấp.
When Tom heard the doorbell ring, he said, "Who could that be?"	Khi Tom nghe thấy tiếng chuông cửa, anh ấy nói "Có thể là ai vậy nhỉ?"
When we are together, I forget all the unhappy times we've had.	Khi chúng tôi ở bên nhau, tôi quên đi những khoảng thời gian không hạnh phúc.
I need to call my parents and tell them I'll be late for dinner.	Tôi cần gọi bố mẹ để báo họ biết tôi sẽ về ăn tối muộn.
Tom might bleed to death if we don't get him to a hospital soon.	Tom có lẽ đã chảy máu đến chết nếu như chúng tôi không đưa anh ta đến bệnh viện sớm.
We have to get that document back before Tom shows it to anyone.	Chúng ta phải lấy lại tài liệu đó trước khi Tom đưa nó cho bất cứ ai.
You spend too much time worrying about things that don't matter.	Tôi dành quá nhiều thời gian để lo lắng về những thứ không quan trọng.
Can you imagine what our lives would be like without electricity?	Bạn có thể hình dung được cuộc sống sẽ như thế nào nếu không có điện không?
I regret not having paid more attention to what the teacher said.	Tôi hối hận vì không chú ý hơn đến những gì mà thày giáo đã nói.
I regret not having paid more attention to what the teacher said.	Tôi hối hận vì không chú ý hơn đến những gì mà cô giáo đã nói.
If I had eaten breakfast this morning, I would not be hungry now.	Nếu tôi có ăn sáng hồi sáng này, giờ thì tôi đã không đói.
It goes without saying that health is more important than wealth.	Chẳng cần phải nói cũng hiểu sức khỏe quan trọng hơn tiền bạc.
My car broke down this morning and won't be repaired until Friday.	Ô tô của tôi đã bị hỏng sáng nay và sẽ không được sửa xong trước thứ sáu.
No one ever really knows what's going through someone else's head.	Không ai thực sự biết điều gì đang diễn ra trong đầu của người khác.
The dog kept barking at me at the gate and kept me from coming in.	Con chó cứ sủa tôi ngay ở cổng và không cho tôi vào.
"What toppings do you want on the pizza?" "Anything but anchovies."	"Bạn muốn làm lớp mặt của pizza bằng gì?" "Bất cứ thứ gì trừ cá trồng."
Everyone is happy with the decision, so please don't rock the boat.	Mọi người đều hài lòng về quyết định này, nên xin đừng làm gì xáo trộn tình hình.
First off, I'd like you to come with me to a department store sale.	Đang có một đợt bán hàng giảm giá ở trung tâm thương mại, trước tiên tôi muốn bạn đi với tôi tới đó.
First off, I'd like you to come with me to a department store sale.	Trước tiên, tôi muốn bạn đi với tôi đến chỗ đang bán hàng giảm giá ở trung tâm mua sắm.
It took me more than two hours to translate a few pages of English.	Tôi tốn hơn hai tiếng để dịch vài trang tiếng Anh.
